상품코드,상품명,대분류,중분류,가격,공급업체,재고,사이즈,색상,지점,상태
P15008,근조3단-상 AB,플라워,경조화환,"120,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P15009,근조3단-특 AE,플라워,경조화환,"150,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16001,카네이션한송이A,어버이날상품,어버이날컬렉션,"10,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P19496,은엽,기타상품,기타,"6,000",일산플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P20002,베레크나 소- 이케아스타일,자재,화병/화기,"12,000",이케아,9998,undefined,undefined,릴리맥NC이스트폴점,활성
P20003,목이긴 스트라이프,자재,화병/화기,"15,000",이케아,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P20004,원형스트라이프- 이케아스타일,자재,화병/화기,"20,000",이케아,9993,undefined,undefined,릴리맥NC이스트폴점,활성
P20005,카라페-이케아스타일,자재,화병/화기,"18,000",이케아,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P20007,센터피스화기 10센티(블랙.화이트실버),자재,화병/화기,"10,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P20018,나리,기타상품,기타,"5,000",일산플라워,2,기타,기타,릴리맥NC이스트폴점,재고부족
P20355,다알리아,기타상품,기타,"6,000",일산플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P21002,드라이플라워카드 대,자재,드라이플라워카드/토퍼,"5,000",자체제작,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24006,헌인자재 비너스 소,자재,바구니,"13,500",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24009,헌인자재 이태리왕골 중,자재,바구니,"20,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25001,그린킬,자재,원예자재,"6,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25007,식물영양제(하이포넥스),자재,원예자재,"12,000",헌인자재,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P00029,분화Be,플랜트,소품,"25,000",자체상품,9974,undefined,undefined,릴리맥NC이스트폴점,활성
P16001,카네이션한송이A,어버이날상품,어버이날컬렉션,"10,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P51616,축전,기타상품,기타,"4,000",송광농원,4,기타,기타,릴리맥NC이스트폴점,재고부족
P52179,오차각,기타상품,기타,"4,000",송광농원,0,기타,기타,릴리맥NC이스트폴점,품절
P53340,원숭이꼬리,기타상품,기타,"4,000",송광농원,1,기타,기타,릴리맥NC이스트폴점,재고부족
P58325,국화,기타상품,기타,"1,700",진성농원,10,기타,기타,릴리맥NC이스트폴점,활성
P58784,나한송,기타상품,기타,"1,800",진성농원,2,기타,기타,릴리맥NC이스트폴점,재고부족
p8uP19RMHN1jIruXPtio,은엽,기타상품,기타,"6,000",일산플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P90308,프리저브드수국,기타상품,기타,"6,930",디자인쁘랭땅,5,기타,기타,릴리맥NC이스트폴점,재고부족
P00006,분화 E,플랜트,소품,"50,000",자체상품,9961,S,Orange,릴리맥NC이스트폴점,활성
P14001,사방화- 1/2폼 H,플라워,행사용꽃,"80,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00025,서양난AE,플랜트,동서양난,"150,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P10006,꽃다발(Basic)F,플라워,꽃다발,"60,000",자체상품,9664,undefined,undefined,릴리맥NC이스트폴점,활성
P24003,현대데코 햇박스 중-라벤더,자재,바구니,"15,000",현대데코,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P13001,용돈박스 12.5*12.5 D,플라워,플라워박스,"40,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
SGbFGeBUKOCNipm77RH9,다알리아,기타상품,기타,"6,000",일산플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
P21006,꽃풍선,자재,드라이플라워카드/토퍼,"35,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00012,스투키/ 금전수/드라코 AE,플랜트,대품,"150,000",자체상품,9997,M,Black,릴리맥NC이스트폴점,활성
P00024,서양난A0,플랜트,동서양난,"100,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P15002,축하3단-상 AB,플라워,경조화환,"120,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P12003,센터피스(BS) G,플라워,센터피스,"70,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16003,케리어- 레드뮤뮤,어버이날상품,어버이날컬렉션,"12,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P10001,한송이A,플라워,꽃다발,"10,000",자체상품,9859,undefined,undefined,릴리맥NC이스트폴점,활성
P00002,다육2개세트 D,플랜트,소품,"40,000",자체상품,9986,S,주황,릴리맥NC이스트폴점,활성
P20008,센터피스화기 13센티(블랙),자재,화병/화기,"18,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P10004,꽃다발(S)D,플라워,꽃다발,"40,000",자체상품,9589,undefined,undefined,릴리맥NC이스트폴점,활성
P13004,용돈박스 23*23H (LL)H,플라워,플라워박스,"80,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P14006,vip코사지-자석 B,플라워,행사용꽃,"20,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P15006,신형화환-2단 C0,플라워,경조화환,"300,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00023,서양난-보자기난 AB,플랜트,동서양난,"120,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00017,동양난-개량종/보세 H,플랜트,동서양난,"80,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P13008,하트박스(LL)H,플라워,플라워박스,"80,000",자체상품,9999,undefined,undefined,릴리맥NC이스트폴점,활성
P20007,센터피스화기 10센티(블랙.화이트실버),자재,화병/화기,"10,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P20009,센터피스화기 14센티(실버),자재,화병/화기,"20,000",undefined,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P25007,식물영양제(하이포넥스),자재,원예자재,"12,000",헌인자재,9999,undefined,undefined,릴리맥NC이스트폴점,활성
Vp3zBRbDPe1nSdnvMN70,국화,기타상품,기타,"1,700",진성농원,10,기타,기타,릴리맥NC이스트폴점,활성
P16017,어버이날토퍼 c,어버이날상품,어버이날컬렉션,"3,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P15005,신형화환-1단 B0,플라워,경조화환,"200,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P10003,꽃다발 SSC,플라워,꽃다발,"30,000",자체상품,9837,undefined,undefined,릴리맥NC이스트폴점,활성
P00007,디시디아/수염틸란 B,플랜트,소품,"25,000",자체상품,9946,L,Green/White,릴리맥NC이스트폴점,활성
wUXR3R2WL3ZaVPKJs9HE,나리,기타상품,기타,"5,000",일산플라워,2,기타,기타,릴리맥NC이스트폴점,재고부족
P10010,꽃다발(LS)AE,플라워,꽃다발,"150,000",자체상품,9996,undefined,undefined,릴리맥NC이스트폴점,활성
x3tt9SOaidiOR6qfBiHd,원숭이꼬리,기타상품,기타,"4,000",송광농원,1,기타,기타,릴리맥NC이스트폴점,재고부족
P25001,그린킬,자재,원예자재,"6,000",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P24006,헌인자재 비너스 소,자재,바구니,"13,500",헌인자재,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00028,수국화분De,플랜트,소품,"45,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P00016,알로카시아 CE,플랜트,대품,"350,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P13003,용돈박스 (L+)F,플라워,플라워박스,"70,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
YrMpRUS8PJ8JkWjssbxT,튤립,기타상품,기타,"14,000",희플라워,1,기타,기타,릴리맥NC이스트폴점,재고부족
yTE5WLcKVFDmopsc7tI0,하트호야,기타상품,기타,"3,000",세종식물원,5,기타,기타,릴리맥NC이스트폴점,재고부족
P10009,꽃다발(L)A0,플라워,꽃다발,"100,000",자체상품,9980,undefined,undefined,릴리맥NC이스트폴점,활성
P12006,센터피스(PL) AB,플라워,센터피스,"120,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
P16006,카네이션다발 E,어버이날상품,어버이날컬렉션,"50,000",자체상품,10000,undefined,undefined,릴리맥NC이스트폴점,활성
